id,contestId,index,title,rating,tags
2184G,2184,G,Nastiness of Segments,,"['binary search', 'data structures']"
2184F,2184,F,Cherry Tree,,"['dfs and similar', 'dp', 'graphs', 'trees']"
2184E,2184,E,Exquisite Array,,"['combinatorics', 'data structures', 'dsu', 'sortings']"
2184D,2184,D,Unfair Game,,"['combinatorics', 'dp', 'math']"
2184C,2184,C,Huge Pile,,"['binary search', 'dfs and similar', 'dp', 'graphs', 'math']"
2184B,2184,B,Hourglass,,['math']
2184A,2184,A,Social Experiment,,['math']
2183I2,2183,I2,Pairs Flipping (Hard Version),,['constructive algorithms']
2183I1,2183,I1,Pairs Flipping (Easy Version),,['constructive algorithms']
2183H,2183,H,Minimise Cost,,"['binary search', 'dp', 'greedy', 'sortings']"
2183G,2183,G,Snake Instructions,,"['constructive algorithms', 'greedy', 'interactive']"
2183F,2183,F,Jumping Man,,"['brute force', 'combinatorics', 'dfs and similar', 'dp', 'trees']"
2183E,2183,E,LCM is Legendary Counting Master,,"['dp', 'math', 'number theory']"
2183D2,2183,D2,Tree Coloring (Hard Version),,"['combinatorics', 'constructive algorithms', 'data structures', 'dfs and similar', 'greedy', 'implementation', 'trees']"
2183D1,2183,D1,Tree Coloring (Easy Version),,"['constructive algorithms', 'dfs and similar', 'greedy', 'trees']"
2183C,2183,C,War Strategy,,"['binary search', 'greedy', 'math', 'two pointers']"
2183B,2183,B,Yet Another MEX Problem,,"['constructive algorithms', 'greedy']"
2183A,2183,A,Binary Array Game,,['games']
2182G,2182,G,Short Garland,,"['combinatorics', 'data structures', 'dfs and similar', 'dp', 'trees']"
2182F2,2182,F2,Christmas Reindeer (hard version),,"['bitmasks', 'brute force', 'combinatorics', 'data structures', 'greedy', 'math']"
2182F1,2182,F1,Christmas Reindeer (easy version),,"['bitmasks', 'brute force', 'combinatorics', 'dp', 'math']"
2182E,2182,E,New Year's Gifts,,"['binary search', 'data structures', 'greedy', 'sortings', 'two pointers']"
2182D,2182,D,Christmas Tree Decoration,,"['combinatorics', 'dp', 'greedy', 'math']"
2182C,2182,C,Production of Snowmen,,"['brute force', 'combinatorics', 'dp']"
2182B,2182,B,New Year Cake,,['brute force']
2182A,2182,A,New Year String,,"['constructive algorithms', 'greedy', 'implementation', 'strings']"
2181M,2181,M,Medical Parity,1700.0,"['dp', 'strings']"
2181L,2181,L,LLM Training,2800.0,"['math', 'string suffix structures']"
